cuisine,name,price,rating,url
Cuisine Indienne,Taste Of India,$$$,3.4,https://food.jumia.dz/restaurant/a4st/taste-of-india-vendor
Sandwichs Pizza,Twin Pizza,$$,3.5,https://food.jumia.dz/restaurant/a3yy/twin-pizza
Pizza,Virtual Pizza- by Virtual Game,$,3.7,https://food.jumia.dz/restaurant/a7vn/virtual-pizza-by-virtual-game
Pizza,Le Mirage,$$,0,https://food.jumia.dz/restaurant/a1em/le-mirage
Pizza,16 éme arrondissement,$$,3.4,https://food.jumia.dz/restaurant/a8sa/16-eme-arrondissement
Burger,Boss burger,$,0,https://food.jumia.dz/restaurant/a8zr/boss-burger
Salades Pizza,Broccoli Pizza and Pasta,$,3.9,https://food.jumia.dz/restaurant/a0kq/broccoli-pizza-and-pasta
Pizza,Gusto Pizza,$$,3.9,https://food.jumia.dz/restaurant/a0sx/gusto
Burger Pizza,Hélios Snack,$,3.5,https://food.jumia.dz/restaurant/a6mc/helios-chili-food
Pizza,Pizzeria le four,$$,0,https://food.jumia.dz/restaurant/a2uh/pizzeria-le-four
Burger,Showcase,$$,0,https://food.jumia.dz/restaurant/a9mp/showcase
Pizza,Uphoria,$,3.5,https://food.jumia.dz/restaurant/a5hj/uphoria
Kebab Grillades,Woody Grill,$$,0,https://food.jumia.dz/restaurant/a3mj/woody-grill
Cuisine Méditerranéenne,Le Voutain,$$,0,https://food.jumia.dz/restaurant/a7qs/le-voutain
Pizza,Al Forno,$$,4,https://food.jumia.dz/restaurant/a4te/al-forno-vendor
Healthy Food,Saha Oua Djawda,$,4.5,https://food.jumia.dz/restaurant/a5kr/saha-oua-djawda
Libanais Cuisine Algérienne Grillades Pizza Salades,Loft,$$,3.6,https://food.jumia.dz/restaurant/a3uq/le-loft
Sandwichs,Big Bag,$$,3.7,https://food.jumia.dz/restaurant/a0qp/big-bagnew
Pizza,Taxi Pizza,$$,3.4,https://food.jumia.dz/restaurant/a9mz/taxi-pizza
Pizza,Woodpecker Bouzareah,$,4.5,https://food.jumia.dz/restaurant/a0em/woodpecker-bouzareah
Cuisine Orientale,Turcomania,$$,3.6,https://food.jumia.dz/restaurant/a1ku/turcomania
Burger,Home Burger,$,0,https://food.jumia.dz/restaurant/a9gs/home-burger
Cuisine Algérienne Cuisine Traditionnelle,L'Aparté Fait Maison,$$,3.9,https://food.jumia.dz/restaurant/a0yr/l-aparte-fait-maison
Pizza Sandwichs Burger,Kiosque Pizza,$,3.7,https://food.jumia.dz/restaurant/a9di/kiosque-pizza
,Hellofood Test Restaurant 2,$,0,https://food.jumia.dz/restaurant/a8cp/hellofood-test-restaurant-2
